Country,Region,2000,2010,2020
Iceland,Europe,57008,54268,71687
Luxembourg,Europe,64217,71085,74839
United States,North America,61132,67263,77567
Switzerland,Europe,60768,67961,69728
Belgium,Europe,60929,63295,63677
Denmark,Europe,52019,61537,66203
Austria,Europe,57529,62831,64648
Netherlands,Europe,60063,66270,67163
Australia,Oceania,48213,55536,60377
Canada,North America,46526,52457,59160
Germany,Europe,51344,52912,60309
United Kingdom,Europe,44967,52455,53612
Norway,Europe,36444,47531,52415
France,Europe,43694,49926,50550
Ireland,Europe,37874,52793,53651
Finland,Europe,43073,49911,51092
New Zealand,Oceania,36452,44476,51417
Sweden,Europe,37651,45337,51214
South Korea,Asia,32243,39730,48294
Slovenia,Europe,33203,42846,48605
Italy,Europe,45290,47629,44246
Israel,Asia,37782,34993,42130
Lithuania,Europe,17102,28340,44228
Spain,Europe,43029,46538,43828
Japan,Asia,41428,40999,41442
Poland,Europe,23770,28091,37325
Estonia,Europe,14254,24461,35128
Latvia,Europe,13407,22140,33199
Czech Republic,Europe,20070,28648,35552
Turkey,Europe,,22847,31761
Chile,South America,20515,27871,31369
Costa Rica,South America,18160,21062,31341
Portugal,Europe,30975,31589,31300
Hungary,Europe,17969,24005,27588
Slovakia,Europe,16381,22642,27052
Greece,Europe,29797,35454,27747
Colombia,South America,,19800,24681
Mexico,North America,17311,17618,17467
